127.0.0.1 - - [20/Nov/2024:14:07:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:07:59 +0530] "GET /JSP-Proj-1/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:08:12 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:08:48 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:08:51 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:08:51 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:21 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:38 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:39 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:39 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:39 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:40 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:40 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:40 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:40 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:40 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:41 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:42 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:42 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:42 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:43 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:43 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:43 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:43 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:10:43 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:13:34 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 500 2659
0:0:0:0:0:0:0:1 - - [20/Nov/2024:14:14:13 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 500 2659
0:0:0:0:0:0:0:1 - - [20/Nov/2024:19:35:01 +0530] "GET /JSP-Proj-1/tag.jsp HTTP/1.1" 200 1059
